Barcode	Total
R05_C12W1_1	0
R05_C12W1_2	0
P21502_101_C12W1_1*	852
P21502_101_C12W1_2	615
P21502_102_C12W1_1	427
P21502_102_C12W1_2	407
P21502_103_C12W1_1	0
P21502_103_C12W1_2**	41
P21502_104_C12W1_1	19
P21502_104_C12W1_2	17
P21502_105_C12W1_1	254
P21502_105_C12W1_2	293
P21502_106_C12W1_1	126
P21502_106_C12W1_2	131
P21502_108_C12W1_1*	103
P21502_108_C12W1_2	71
P21502_109_C12W1_1	36
P21502_109_C12W1_2	39
P21502_111_C12W1_1	185
P21502_111_C12W1_2	182
P21502_112_C12W1_1	34
P21502_112_C12W1_2**	41
P21502_113_C12W1_1	0
P21502_113_C12W1_2	0
P21502_114_C12W1_1	0
P21502_114_C12W1_2	0
P21502_116_C12W1_1*	0
P21502_116_C12W1_2	0
P21502_117_C12W1_1	0
P21502_117_C12W1_2	0
P21502_118_C12W1_1	652
P21502_118_C12W1_2	582
P21502_119_C12W1_1	0
P21502_119_C12W1_2	0
P21502_119_C12W1_3	0
P21502_120_C12W1_1	0
P21502_120_C12W1_2	0
P21502_121_C12W1_1	0
P21502_121_C12W1_2**	1123
P21502_122_C12W1_1	0
P21502_122_C12W1_2	95
P21502_123_C12W1_1	20
P21502_123_C12W1_2	23
P21502_124_C12W1_1	1321
P21502_124_C12W1_2	316
P21502_125_C12W1_1	816
P21502_125_C12W1_2	846
P21502_126_C12W1_1	0
P21502_126_C12W1_2	0
P21502_127_C12W1_1*	0
P21502_127_C12W1_2	0
P21502_128_C12W1_1	92
P21502_128_C12W1_2	105
P21502_107_C12W1_1*	852
P21502_107_C12W1_2	184
P21502_110_C12W1_1	1357
P21502_110_C12W1_2**	1123
P21502_129_C12W1_1	0
P21502_129_C12W1_2	0
P21502_130_C12W1_1	0
P21502_130_C12W1_2	0
P21502_131_C12W1_1	0
P21502_131_C12W1_2	0
P21502_132_C12W1_1	0
P21502_132_C12W1_2	0
P21502_133_C12W1_1	0
P21502_133_C12W1_2	0
P21502_134_C12W1_1	0
P21502_134_C12W1_2	0
P21502_135_C12W1_1	0
P21502_135_C12W1_2	0
P21502_136_C12W1_1	0
P21502_136_C12W1_2**	41
P21502_137_C12W1_1	0
P21502_137_C12W1_2	0
P21502_138_C12W1_1	0
P21502_138_C12W1_2	0
P21502_139_C12W1_1	0
P21502_139_C12W1_2	0
P21502_140_C12W1_1	0
P21502_140_C12W1_2	0
P21502_141_C12W1_1	0
P21502_141_C12W1_2	0
P21502_141_C12W1_3	0
P21502_142_C12W1_1	0
P21502_142_C12W1_2*	0
P21502_143_C12W1_1	0
P21502_143_C12W1_2	0
P21502_144_C12W1_1	0
P21502_144_C12W1_2	0
P21502_145_C12W1_1	0
P21502_145_C12W1_2*	0
P21502_146_C12W1_1	0
P21502_146_C12W1_2	0
P21502_147_C12W1_1*	103
P21502_147_C12W1_2	0
P21502_148_C12W1_1	0
P21502_148_C12W1_2	0
P21502_149_C12W1_1	0
P21502_149_C12W1_2	0
P21502_150_C12W1_1	0
P21502_150_C12W1_2	0
P21502_151_C12W1_1	0
P21502_151_C12W1_2	0
P21502_152_C12W1_1**	1123
P21502_152_C12W1_2	0
P21502_153_C12W1_1	0
P21502_153_C12W1_2	0
P21502_154_C12W1_1	0
P21502_154_C12W1_2	0
P21502_155_C12W1_1	0
P21502_155_C12W1_2	0
P21502_156_C12W1_1	0
P21502_156_C12W1_2	0
Unknown1_VGx_C12W1_1	0
Unknown1_VGx_C12W1_2	0
Unknown2_VGy_C12W1_1	0
Unknown2_VGy_C12W1_2	0
