Barcode	Total
P21502_101_C2W24_1	2933
P21502_101_C2W24_2	2
P21502_102_C2W24_1	2933
P21502_102_C2W24_2	0
P21502_103_C2W24_1	5874
P21502_103_C2W24_2	567
P21502_104_C2W24_1	3084
P21502_104_C2W24_2	431
P21502_105_C2W24_1	1445
P21502_105_C2W24_2	5874
P21502_108_C2W24_1	3084
P21502_108_C2W24_2	64
P21502_109_C2W24_1	0
P21502_109_C2W24_2	0
P21502_111_C2W24_1	2122
P21502_112_C2W24_1	3084
P21502_112_C2W24_2	431
P21502_113_C2W24_1	5874
P21502_113_C2W24_2	1445
P21502_114_C2W24_1	821
P21502_115_C2W24_1	821
P21502_116_C2W24_1	0
P21502_116_C2W24_2	567
P21502_117_C2W24_1	7
P21502_117_C2W24_2	0
P21502_118_C2W24_1	1445
P21502_118_C2W24_2	0
P21502_119_C2W24_1	0
P21502_119_C2W24_2	0
P21502_120_C2W24_1	1675
P21502_120_C2W24_2	2122
P21502_121_C2W24_1	6
P21502_121_C2W24_2	0
P21502_122_C2W24_1	8
P21502_122_C2W24_2	0
P21502_123_C2W24_1	2122
P21502_123_C2W24_2	0
P21502_124_C2W24_1	3084
P21502_124_C2W24_2	821
P21502_125_C2W24_1	0
P21502_125_C2W24_2	64
P21502_126_C2W24_1	0
P21502_127_C2W24_1	0
P21502_127_C2W24_2	1
P21502_128_C2W24_1	821
P21502_128_C2W24_2	0
P21502_107_C2W24_1	0
P21502_107_C2W24_2	567
P21502_110_C2W24_1	0
P21502_129_C2W24_1	821
P21502_129_C2W24_2	57
P21502_130_C2W24_1	2072
P21502_130_C2W24_2	44
P21502_131_C2W24_1	35
P21502_132_C2W24_1	1445
P21502_132_C2W24_2	44
P21502_133_C2W24_1	2933
P21502_133_C2W24_2	1
P21502_134_C2W24_1	714
P21502_134_C2W24_2	133
P21502_135_C2W24_1	1675
P21502_135_C2W24_2	0
P21502_136_C2W24_1	5874
P21502_136_C2W24_2	821
P21502_137_C2W24_1	1094
P21502_137_C2W24_2	64
P21502_138_C2W24_1	912
P21502_139_C2W24_1	2933
P21502_139_C2W24_2	182
P21502_140_C2W24_1	567
P21502_141_C2W24_1	259
P21502_141_C2W24_2	41
P21502_141_C2W24_3	0
P21502_142_C2W24_1	0
P21502_143_C2W24_1	1445
P21502_143_C2W24_2	953
P21502_144_C2W24_1	463
P21502_144_C2W24_2	15
P21502_145_C2W24_1	5874
P21502_146_C2W24_1	1028
P21502_146_C2W24_2	431
P21502_146_C2W24_3	1409
P21502_147_C2W24_1	64
P21502_148_C2W24_1	3084
P21502_148_C2W24_2	2122
P21502_149_C2W24_1	0
P21502_149_C2W24_2	0
P21502_149_C2W24_3	0
P21502_150_C2W24_1	1113
P21502_151_C2W24_1	2122
P21502_151_C2W24_2	149
P21502_152_C2W24_1	0
P21502_153_C2W24_1	1409
P21502_153_C2W24_2	431
P21502_154_C2W24_1	5874
P21502_155_C2W24_1	131
P21502_155_C2W24_2	2
P21502_156_C2W24_1	2933
P21502_156_C2W24_2	0
P21502_156_C2W24_3	0
